"755.00,755.00,906000.00,3966.00,2065.00,3049.00,0.00,11.00,9025.00,6760.00,1SQ,21570,Star Marianas Air Inc.,01169,D,1SQ,Star Marianas Air Inc.,1,6,15215,1521503,35215,TIQ,""Tinian, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,14955,1495503,34955,SPN,""Saipan, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,0,079,1,2023,1,2,1,F,DU"
"756.00,756.00,907200.00,3921.00,1981.00,4254.00,0.00,11.00,9403.00,7135.00,1SQ,21570,Star Marianas Air Inc.,01169,D,1SQ,Star Marianas Air Inc.,1,6,15215,1521503,35215,TIQ,""Tinian, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,14955,1495503,34955,SPN,""Saipan, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,0,079,1,2023,2,5,1,F,DU"
"760.00,754.00,23849000.00,96512.00,74707.00,65716.00,2.00,100.00,35812.00,19439.00,HA,19690,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,13830,1383002,33830,OGG,""Kahului, HI"",HI,15,Hawaii,US,United States,2,12173,1217305,32134,HNL,""Honolulu, HI"",HI,15,Hawaii,US,United States,2,6,608,1,2023,1,3,1,F,DU"
"760.00,754.00,23852100.00,96512.00,74019.00,489932.00,0.00,100.00,33935.00,16416.00,HA,19690,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,12173,1217305,32134,HNL,""Honolulu, HI"",HI,15,Hawaii,US,United States,2,13830,1383002,33830,OGG,""Kahului, HI"",HI,15,Hawaii,US,United States,2,6,608,1,2023,1,3,1,F,DU"
"762.00,757.00,23960100.00,96896.00,77808.00,67856.00,2.00,100.00,31693.00,18161.00,HA,19690,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,13830,1383002,33830,OGG,""Kahului, HI"",HI,15,Hawaii,US,United States,2,12173,1217305,32134,HNL,""Honolulu, HI"",HI,15,Hawaii,US,United States,2,6,608,1,2023,3,7,1,F,DU"
"762.00,758.00,23989700.00,97024.00,80163.00,441231.00,0.00,100.00,32506.00,16570.00,HA,19690,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,12173,1217305,32134,HNL,""Honolulu, HI"",HI,15,Hawaii,US,United States,2,13830,1383002,33830,OGG,""Kahului, HI"",HI,15,Hawaii,US,United States,2,6,608,1,2023,3,7,1,F,DU"
"763.00,754.00,23900100.00,96512.00,65720.00,300861.00,0.00,100.00,32651.00,16523.00,HA,19690,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,12173,1217305,32134,HNL,""Honolulu, HI"",HI,15,Hawaii,US,United States,2,13830,1383002,33830,OGG,""Kahului, HI"",HI,15,Hawaii,US,United States,2,6,608,1,2023,3,8,1,F,DU"
"779.00,766.00,24266000.00,98048.00,62309.00,63597.00,0.00,100.00,32683.00,18592.00,HA,19690,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,13830,1383002,33830,OGG,""Kahului, HI"",HI,15,Hawaii,US,United States,2,12173,1217305,32134,HNL,""Honolulu, HI"",HI,15,Hawaii,US,United States,2,6,608,1,2023,3,8,1,F,DU"
"779.00,779.00,934800.00,4102.00,2077.00,14823.00,0.00,11.00,10554.00,8217.00,1SQ,21570,Star Marianas Air Inc.,01169,D,1SQ,Star Marianas Air Inc.,1,6,14955,1495503,34955,SPN,""Saipan, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,15215,1521503,35215,TIQ,""Tinian, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,0,079,1,2023,2,4,1,F,DU"
"780.00,780.00,936000.00,4105.00,1961.00,3107.00,0.00,11.00,10068.00,7728.00,1SQ,21570,Star Marianas Air Inc.,01169,D,1SQ,Star Marianas Air Inc.,1,6,15215,1521503,35215,TIQ,""Tinian, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,14955,1495503,34955,SPN,""Saipan, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,0,079,1,2023,2,4,1,F,DU"
