Idx,X,Y,x_light,y_light,elevation,azimuth,adc0,adc1,adc2,adc3,adcSum,adc0_percent,adc1_percent,adc2_percent,adc3_percent,min_adc
134,0.23009,0.40348,-0.0510399,-0.0508835,27.6763,60.3055,250.656,223.531,250.578,274.453,999.218,25.085,22.371,25.077,27.467,22.371
135,0.35149,0.39854,-0.0766277,-0.0513532,32.0997,48.5895,245.094,206.484,233.062,267.406,952.046,25.744,21.688,24.48,28.088,21.688
136,0.670859,0.37138,-0.153281,-0.0508247,50.067,28.9684,193.328,137.578,157.609,208.734,697.249,27.727,19.732,22.604,29.937,19.732
137,0.75676,0.367719,-0.179113,-0.0507527,57.2851,25.9157,163.828,109.562,126.859,175.766,576.015,28.442,19.021,22.024,30.514,19.021
138,0.77371,0.257201,-0.179869,-0.0264049,54.621,18.3881,181.234,122.094,133.422,186.359,623.109,29.085,19.594,21.412,29.908,19.594
139,-0.40305,0.15477,0.0765437,0.000551335,25.5783,158.993,236.734,273.672,275.5,234.344,1020.25,23.204,26.824,27.003,22.969,22.969
140,-0.15131,0.15423,0.0254705,0.000194008,12.4777,134.452,276.0,287.875,290.25,273.406,1127.531,24.478,25.531,25.742,24.248,24.248
141,0.6908,0.14828,-0.152797,-0.000139796,44.9537,12.1147,227.391,163.75,167.672,223.578,782.391,29.064,20.929,21.431,28.576,20.929
142,-0.73221,0.0525894,0.152895,0.0252243,47.2309,175.892,161.375,216.172,208.391,150.578,736.516,21.911,29.351,28.294,20.445,20.445
143,0.4917,0.0308404,-0.102525,0.0256272,29.516,3.589,281.297,225.531,217.969,263.531,988.328,28.462,22.819,22.054,26.664,22.054
144,0.78838,0.0412496,-0.179138,0.024864,52.1349,2.9951,203.656,139.297,135.391,190.922,669.266,30.43,20.813,20.23,28.527,20.23
145,-0.73335,-0.0610604,0.153296,0.052148,47.3823,184.76,165.797,220.703,202.953,145.234,734.687,22.567,30.04,27.624,19.768,19.768
146,-0.62838,-0.0726804,0.128651,0.0515114,39.2399,186.598,197.969,252.078,230.984,174.969,856.0,23.127,29.448,26.984,20.44,20.44
147,0.3279,0.62163,-0.0769537,-0.102373,44.6529,62.1891,191.812,160.766,201.797,231.203,785.578,24.417,20.465,25.688,29.431,20.465
