Idx,X,Y,x_light,y_light,elevation,azimuth,adc0,adc1,adc2,adc3,adcSum,adc0_percent,adc1_percent,adc2_percent,adc3_percent,min_adc
537,-0.730893,-0.20465,0.153839,0.0860113,49.3765,195.642,162.188,214.828,185.734,131.562,694.312,23.36,30.941,26.751,18.949,18.949
538,-0.20465,-0.730893,0.0434394,0.206656,49.3765,254.358,204.219,217.875,147.125,130.391,699.61,29.19,31.142,21.03,18.638,18.638
539,0.20465,-0.730893,-0.0498419,0.207385,49.3765,285.642,224.047,199.5,133.812,144.234,701.593,31.934,28.435,19.073,20.558,19.073
540,0.730893,-0.20465,-0.164364,0.0852531,49.3765,344.358,223.484,158.906,135.531,186.781,704.702,31.713,22.549,19.232,26.505,19.232
541,0.672422,0.380065,-0.154344,-0.053281,50.5698,29.4759,187.266,132.844,153.094,203.047,676.251,27.692,19.644,22.639,30.025,19.644
542,0.380065,0.672422,-0.0901883,-0.114764,50.5698,60.5241,165.109,133.188,173.391,202.25,673.938,24.499,19.763,25.728,30.01,19.763
543,-0.380065,0.672422,0.0802039,-0.112565,50.5698,119.476,135.938,161.859,200.625,172.719,671.141,20.255,24.117,29.893,25.735,20.255
544,-0.672422,0.380065,0.142365,-0.0494091,50.5698,150.524,136.766,182.484,201.172,151.266,671.688,20.362,27.168,29.95,22.52,20.362
545,-0.672422,-0.380065,0.14261,0.127795,50.5698,209.476,164.734,212.328,169.688,121.922,668.672,24.636,31.754,25.377,18.233,18.233
546,-0.380065,-0.672422,0.0819558,0.195111,50.5698,240.524,186.75,214.266,148.781,121.297,671.094,27.828,31.928,22.17,18.075,18.075
547,0.380065,-0.672422,-0.0886808,0.196809,50.5698,299.476,221.094,183.25,124.641,146.719,675.704,32.721,27.12,18.446,21.714,18.446
548,0.672422,-0.380065,-0.153409,0.126725,50.5698,330.524,220.375,160.969,125.562,170.0,676.906,32.556,23.78,18.549,25.114,18.549
549,0.730893,0.263122,-0.167178,-0.0267932,50.9697,19.7989,192.953,133.953,145.797,199.109,671.812,28.721,19.939,21.702,29.638,19.939
550,0.263122,0.730893,-0.0651078,-0.126482,50.9697,70.2011,157.719,134.719,178.266,198.859,669.563,23.556,20.12,26.624,29.7,20.12
551,-0.263122,0.730893,0.0553112,-0.124427,50.9697,109.799,137.547,154.812,197.562,177.891,667.812,20.597,23.182,29.583,26.638,20.597
552,-0.730893,0.263122,0.154975,-0.0232898,50.9697,160.201,137.359,186.672,196.5,142.984,663.515,20.702,28.134,29.615,21.549,20.702
553,-0.730893,-0.263121,0.154514,0.101075,50.9697,199.799,157.094,207.672,174.797,123.0,662.563,23.71,31.344,26.382,18.564,18.564
554,-0.263122,-0.730893,0.0560745,0.209056,50.9697,250.201,192.875,210.562,141.828,122.094,667.359,28.901,31.552,21.252,18.295,18.295
555,0.263122,-0.730893,-0.0630154,0.209997,50.9697,289.799,217.828,189.156,126.0,139.719,672.703,32.381,28.119,18.73,20.77,18.73
556,0.730893,-0.263122,-0.166343,0.0993527,50.9697,340.201,217.453,154.094,127.656,176.734,675.937,32.171,22.797,18.886,26.147,18.886
557,0.555479,0.555479,-0.128668,-0.0911107,51.773,45.0,172.719,128.266,160.281,201.047,662.313,26.078,19.366,24.2,30.355,19.366
558,-0.555479,0.555479,0.118348,-0.0870932,51.773,135.0,130.922,168.469,198.297,158.219,655.907,19.96,25.685,30.232,24.122,19.96
559,0.555479,-0.555479,-0.127274,0.169659,51.773,315.0,218.219,168.125,120.141,154.125,660.61,33.033,25.45,18.186,23.331,18.186
560,-0.555479,-0.555479,0.118771,0.168888,51.773,225.0,171.656,210.625,155.266,116.547,654.094,26.243,32.201,23.738,17.818,17.818
561,0.789365,0.0292357,-0.179508,0.028635,52.1767,2.12109,201.453,137.844,132.797,187.609,659.703,30.537,20.895,20.13,28.438,20.13
562,0.61395,0.497007,-0.141736,-0.0795664,52.1767,38.991,174.5,126.0,154.203,198.25,652.953,26.725,19.297,23.616,30.362,19.297
563,0.497007,0.61395,-0.115916,-0.103848,52.1767,51.009,165.891,126.5,161.953,198.203,652.547,25.422,19.386,24.819,30.374,19.386
564,0.0292357,0.789365,-0.0107952,-0.138217,52.1767,87.8789,141.875,137.531,183.188,185.844,648.438,21.88,21.21,28.251,28.66,21.21
565,-0.0292357,0.789365,0.00352981,-0.137372,52.1767,92.1211,139.344,139.406,184.875,182.656,646.281,21.561,21.57,28.606,28.263,21.561
566,-0.497007,0.61395,0.10668,-0.100017,52.1767,128.991,127.891,161.25,194.297,159.109,642.547,19.904,25.095,30.239,24.762,19.904
567,0.61395,-0.497008,-0.140237,0.15666,52.1767,321.009,215.359,162.109,118.469,156.75,652.687,32.996,24.837,18.151,24.016,18.151
568,0.789365,-0.0292357,-0.17954,0.0434886,52.1767,357.879,202.531,139.016,129.531,183.547,654.625,30.938,21.236,19.787,28.038,19.787
569,-0.789365,0.0292357,0.167617,0.0321225,52.1767,177.879,140.547,193.312,184.375,128.703,646.937,21.725,29.881,28.5,19.894,19.894
570,-0.789365,-0.0292357,0.168626,0.0457377,52.1767,182.121,141.938,195.125,181.547,126.031,644.641,22.018,30.269,28.162,19.551,19.551
571,-0.0292358,-0.789365,0.00463494,0.223003,52.1767,267.879,201.219,198.703,129.812,124.266,654.0,30.767,30.383,19.849,19.001,19.001
572,0.0292358,-0.789365,-0.00919179,0.22246,52.1767,272.121,204.406,196.656,128.406,126.688,656.156,31.152,29.971,19.569,19.308,19.308
573,-0.61395,0.497008,0.131208,-0.0741946,52.1767,141.009,129.578,170.578,196.172,152.094,648.422,19.984,26.307,30.254,23.456,19.984
574,-0.61395,-0.497008,0.130226,0.155917,52.1767,218.991,165.375,207.219,157.094,114.984,644.672,25.653,32.143,24.368,17.836,17.836
575,-0.497008,-0.61395,0.106583,0.183204,52.1767,231.009,173.734,208.219,149.0,114.672,645.625,26.909,32.251,23.078,17.761,17.761
