Idx,X,Y,X_interp,Y_interp,azimuth,elevation,azimuth_interp,elevation_interp,x_light,y_light
220,-0.587785,-5.13858e-08,-0.585,0.0018,180,36,179.824,35.8032,0.118451,0.0339269
221,-0.293893,-0.509037,-0.2949,-0.509,240,36,239.913,36.0335,0.0586254,0.144708
222,0.293893,-0.509037,0.2905,-0.5094,300,36,299.695,35.9028,-0.0653572,0.144881
223,0.601815,3.73165e-17,0.5979,0.0029,3.55271e-15,37,0.2779,36.7201,-0.128431,0.032229
224,0.300907,0.521187,0.3007,0.5225,60,37,60.0795,37.0742,-0.0685012,-0.0784512
225,-0.300908,0.521187,-0.3033,0.5251,120,37,120.011,37.3296,0.059765,-0.0782216
226,-0.601815,-5.26123e-08,-0.5997,0.005,180,37,179.522,36.8499,0.121843,0.0339644
227,-0.300907,-0.521187,-0.3,-0.5212,240,37,240.076,36.9683,0.0603429,0.147725
228,0.300907,-0.521187,0.3065,-0.5195,300,37,300.54,37.0978,-0.0664363,0.148443
229,0.615662,3.8175e-17,0.6175,0.001,3.55271e-15,38,0.0927866,38.1339,-0.13139,0.0325301
230,0.307831,0.533179,0.3065,0.53,60,38,59.9591,37.7519,-0.0698939,-0.0819072
231,-0.307831,0.533178,-0.3084,0.532,120,38,120.101,37.9466,0.0611222,-0.0806255
232,-0.615662,-5.38228e-08,-0.6117,0.0022,180,38,179.794,37.7128,0.125168,0.0343328
233,-0.307831,-0.533179,-0.3042,-0.5328,240,38,240.276,37.8449,0.0621507,0.151454
234,0.307831,-0.533179,0.3058,-0.5348,300,38,299.761,38.0287,-0.0691147,0.151853
235,0.62932,3.9022e-17,0.627,-0.0009,3.55271e-15,39,359.918,38.8292,-0.135545,0.0332524
236,0.31466,0.545007,0.3131,0.5491,60,39,60.308,39.2048,-0.0720322,-0.0846909
237,-0.31466,0.545007,-0.3147,0.5508,120,39,119.742,39.3728,0.062491,-0.0836462
238,-0.62932,-5.50169e-08,-0.6284,-0.0024,180,39,180.219,38.9325,0.128351,0.0348573
239,-0.31466,-0.545007,-0.3093,-0.547,240,39,240.514,38.9315,0.0641987,0.155109
240,0.31466,-0.545007,0.3222,-0.5397,300,39,300.837,38.944,-0.0705819,0.154766
241,0.642788,3.9857e-17,0.6414,0.0047,3.55271e-15,40,0.41984,39.8976,-0.138133,0.0325114
242,0.321394,0.55667,0.3238,0.5601,60,40,59.9673,40.3129,-0.0735283,-0.0873579
243,-0.321394,0.55667,-0.3207,0.5581,120,40,119.883,40.0668,0.0652348,-0.0863123
244,-0.642788,-5.61943e-08,-0.6443,-0.0026,180,40,180.231,40.1136,0.130982,0.0352019
245,-0.321394,-0.55667,-0.3216,-0.5588,240,40,240.079,40.1459,0.0656178,0.158377
246,0.321394,-0.55667,0.3249,-0.5539,300,40,300.395,39.9528,-0.0720093,0.158254
247,0.656059,4.068e-17,0.6532,-0.0014,3.55271e-15,41,359.877,40.7834,-0.141992,0.0330031
248,0.328029,0.568164,0.3328,0.5704,60,41,59.7386,41.3295,-0.0752467,-0.0906556
249,-0.32803,0.568164,-0.3231,0.5739,120,41,119.379,41.1932,0.0662145,-0.0891768
250,-0.656059,-5.73545e-08,-0.6578,0.0013,180,41,179.887,41.1324,0.134262,0.0350595
251,-0.328029,-0.568164,-0.3211,-0.565,240,41,240.39,40.5317,0.0672724,0.161081
252,0.328029,-0.568164,0.3334,-0.5645,300,41,300.567,40.9654,-0.0733537,0.161729
253,0.669131,4.14905e-17,0.668,0.0021,3.55271e-15,42,0.180121,41.9131,-0.145089,0.0333964
